chunk_id,parent_id,type,text,url,path,embedding_index
2e5dae4e-b304-46e1-9b39-db05acc77c27,61326c7a-20fa-448b-9a28-7736da6415f0,metadata,"Title: Which subject to choose in jan term
Tags: clarification, miscellaneous",https://discourse.onlinedegree.iitm.ac.in/t/which-subject-to-choose-in-jan-term/161071,forum/metadata,0
64ea542f-bfdb-4ab9-aa39-e8dc84500f35,61326c7a-20fa-448b-9a28-7736da6415f0,content,"Author: 21f3000745
Date: 2025-01-01T16:04:48. 996Z
Content:
Hii all…i know this may not be the correct platform to ask this question. Actually i have 3 diploma subjects to cover - MLP, JAVA, TDS. So which 2 subject should i choose for this term?
-------------------

Author: 22f3002293
Date: 2025-01-01T16:49:57. 552Z
Content:
Don’t take TDS, this subject should be taken in the end else you might have some problem
-------------------

Author: carlton
Date: 2025-01-02T03:23:20. 202Z
Content:
TDS at the end best. Gives you the best chance of doing well in it. Kind regards
-------------------

Author: Adityach1
Date: 2025-01-06T14:17:03. 518Z
Content:
Yes you should do tds after mlp only it really help you alot trust me
-------------------

Author: 23f1001065
Date: 2025-06-04T01:52:01. 789Z
Content:
You should focus on TDS at latter stage of your diploma
-------------------.",https://discourse.onlinedegree.iitm.ac.in/t/which-subject-to-choose-in-jan-term/161071,forum/content/1,1
03bc7fc8-f480-421c-a9f1-9a515fef3f8a,558b146a-c09d-4c49-b33e-f1dea11205a2,metadata,"Title: GA3 - Large Language Models - Discussion Thread [TDS Jan 2025]
Tags: announcement, term1-2025, graded-assignment, week-3",https://discourse.onlinedegree.iitm.ac.in/t/ga3-large-language-models-discussion-thread-tds-jan-2025/163247,forum/metadata,2
218ccb36-275f-49fd-8769-a7a8d6668f52,558b146a-c09d-4c49-b33e-f1dea11205a2,content,"Author: s. anand
Date: 2025-01-14T13:00:03. 324Z
Content:
Please post any questions related to
Graded Assignment 3 - Large Language Models. Important Instruction
Please use markdown code formatting (fenced code blocks) when sharing code in Discourse posts. This makes the code much easier to read and differentiate from non-code text. It also makes it easier for people to copy code snippets and run it themselves. See below code for example
ping exam. sanand. workers. dev

Pinging exam. sanand. workers. dev [104. 21. 31. 149] with 32 bytes of data:
Reply from 104. 21. 31. 149: bytes=32 time=9ms TTL=58
Reply from 104. 21. 31. 149: bytes=32 time=8ms TTL=58
Reply from 104. 21. 31. 149: bytes=32 time=8ms TTL=58
Reply from 104. 21. 31. 149: bytes=32 time=9ms TTL=58

Ping statistics for 104. 21. 31. 149:
    Packets: Sent = 4, Received = 4, Lost = 0 (0% loss),
Approximate round trip times in milli-seconds:
    Minimum = 8ms, Maximum = 9ms, Average = 8ms
Visit this link for more details:
Extended Syntax | Markdown Guide. A friendly suggestion: kindly go through
Discourse Docs
!
Deadline:
Sunday, February 2, 2025 6:29 PM
@carlton
@Jivraj
@Saransh_Saini
-------------------

Author: s. anand
Date: 2025-01-14T13:06:47. 583Z
Content:

-------------------

Author: nilaychugh
Date: 2025-01-15T12:20:05. 475Z
Content:
how to get the dummy API key?
-------------------

Author: Jivraj
Date: 2025-01-15T14:59:06. 607Z
Content:
Hi Nilay,
In order to make a api call to openai chat completions you are required to send authentication information(openai key) in headers. For first question of GA3 you don’t have to send actual(working) api key, any dummy api key would work(you can put your name, or tds anything works)
kind regards
-------------------

Author: nilaychugh
Date: 2025-01-18T04:43:01. 431Z
Content:
which API should i use in 7th question
-------------------

Author: 22f3001315
Date: 2025-01-19T07:36:55. 428Z
Content:
need help in question 4th. how can i correct this json body? sir
@Jivraj
{
  ""model"": ""gpt-4o-mini"",
  ""messages"": [
    {
      ""role"": ""user"",
      ""content"": ""Extract text from this image. ""
    },
    {
      ""role"": ""user"",
      ""content"": {
        ""image_url"": ""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAlgAAAAUCAYAAABRY0PiAAAAAXNSR0IArs4c6QAACTlJREFUeF7tXTvPTV0QHq3wAyiIVotE5RIacYtEQkWhQzQKRCKiQSESt4oEFYlEgkTpUknQSlRCQaOQEK0v851M9uznnbXWnHP2e9738z2nO2evPWvWsy7zrJlZ6yz580f+CD9EgAgQASJABIgAESACgyGwhARrMCwpiAgQASJABIgAESAC/yIwFsH69Utk1y6RV6869J48Edm9u/ueKfPtm8jGjSJfvohs3izy7JnIixcie/Z0ci5dEjl1qt9L/j19cuiQyL17/TJPn/bloH6+9Pv3IkeOiDx/LrJiRbkNq1aJvHnTL+PlaJ1XrozasWxZ90Tlb9ok8vt3X8eSThF2+qZh5GWXxq/JWL16LjZDjXnth9OnRW7e7Ld3XPmGz4MH/TGUkaOYHz/e9cvly6N+tD5Q2Xfvily/npG2sGVQ90m1wfEWzaHDh0Xu3x/VsHSpyOvXIuvW9WtUfbR/7ePHK84v/ybKy9Rl75fmEOqi5WvzUetcu3bu2jEppnyPCBABIjApAmmCZYZbKzIjZoutLcCZMvq+LoKfP/eNoRIRM7RmKM6d6xZKI1dHj45+w+8qV/U5eLAzGvjdg2Tv629InlA//f7yZUyyTNcNG+YSLCQBtU4yYxQZRTMyEaFEmbMgWIjPpINvGoJVq3MWGEza5vl6D+eMYbBjRzeHdBzdutUnpRcu9ElWNId041PbqNhc2rKlI/WZugyL2hzSsaYf3EhFONo8iebQfOFOuUSACBCBEgJpgqWL4L59Io8f93e83th+/Nguo16YiMB4wqXK4q4eF2wjVObFWL585F1Dz020QPtdOO6GI6NvBuTGjb6nxe+uIy9T1jORISwRoYw6dRbkIqNvZsqRYGVQypWJ+sTP2ZUrR15j26CoVCRhpbHTIjm4AYnGakT4bJ6btwznUOmd0qbCPOskWLkxw1JEgAjMLwJpglVSI0MirMzDhyIHDtRDjFZPRMJwJ+uJz/r1IwOCJAi9SEaudBHWj9/Rl9oYEQEjV7qzf/So75HzbWiFK1A/H+ZRg3P+vMjOnSPvnhpJJLkYVty7V+THjz7RxLBOK+SIoSYjoUZizZBZSOjr1364TtsfYYZyz54VuXq1a5v3YhqGEbFGcq3hXRtjt2+LbNs2Cj/rx3T3IS8Lkfln9lvGS+hDX1pHhCeWqXmA/Bz6+XM0js+cEbl4sWtHTa8SESltDAxbJEKTEKzahqRG5jy5Ks0h1U89cHfuzA1jWhtM50+fRps/nR++3vldPimdCBABIlBGYCqClfGWRGVaHhBctFsGRBfU7dtj71ktTFgy3ghXS9/oOeaLmUxvaK1dJ0+OPGMYcrXvPrfF55hEIVkz7GaQsf2tPosMZsvjGIVCUQ6GsDw+isnWrXM9kDVdazlYijV6MzEE68meeTyi0HRrLGB4LOqTlqcuIljfv/dD3bUwXWZ+YD6jERzcYIwbIizNjXFChKpLJCfK96rlX2W9vDQIRIAIEIFZIDAVwUJCECkclSktylHyu4YUMwZkPgiWDwHWPBCl8Ix6ZPbv7/JHIgJlIU7FrhTC0d255YmpTh8+jGRG5BENfpZEWt/VCKn3zPmQboZg1QyoYYu61ojJJATL59FFRKhFPkseoUyYvDaZI4IVeX9qBxdqY9DnMpr3zw6UROE0Tz5LifAqp0VIa6H4FnFFD5cdpKnlQ5JgzcJksA4iQASyCExMsGxx9QQCKy2VaXmEcHdtoSmfsKtl/II6HwTL2tNauDPticiJnsKrkaXI4HuCFYVn8R1vLGskEduqIbZSLgu2t0WwzDuF/Vfyctlhhxo5nIRgYZ4f5ha1CJYf3+ihtDCh9mkm7OxlRQTLh7ozevnQt3qrfOi41I8l77InojUSVeqf7GEXj0F2DtXmYmueZhdFliMCRIAIDIHARARrGnKlSmcWU79YHjs2CvksFMFCwuevdMi2xzrLGyXNC7IcrRpZwpNgRspKOCJxQDJQ80qonpjXpb95cjYuwbL8OMyNiTxCprsSlejQguG4UATL51YZqdLxaeRN9fbXRWQm6RAECz1T2sdKVNVDWstJ8h5LlZHNg2uFb/1p3mhzgVeOZNYEPzYjbx4JVma0sQwRIAKzQmBsgjUtucoSElwso5NMkyS5o+cg622oeVOyxgGJmiVea7ivlsdl3gzM2cp4sHAg1a6niAad1fn2bZcTNC7BynqwjCQoKdA2q5Eu3ZG1EASrFLL0eCyUByvqu1bul+FtZEi/RyeFa6HoiLyVricZYg7ViB0J1qzMBushAkQgg8BYBGsIcoUES79Hngo0DkNe0xB5k8wrVcpBqpGoUn5RaRev9SupwnAfkj197u8pQkKVycEqGd7IkJYGDHqaIoKFbcV8s0wOltbvc8hKd495IuZz08xzFI2pqP5xQ4QRcTB916zpLsyN+r02GYfwYEXt83NGT3q2vFOlMqUQcGkMleZQ7cRxqX8wrFs7GUmClVnyWYYIEIFZIZAmWJg8HSmYKRN5sNAYRzkcKDtaTKMk8pqxi0jbUPkjkRwkTEoi7SZ5M26WkGxtsVNT797NvQohc4owamONLEbGEWXg+60TgpqgnCljY8rCcLWrCRbSg+WTxk1XvMpC22IX8rYM/xAEC8d+lDuFCeKTlokIrl8PhppDqF8k19fbwnlWiyrrIQJEgAgoAmmC5U/UIXRmXPQuIX/fkC/nj1fXvBn2TmRcMZdo2r/KaSXp4n1P+JcinhDgTlufYS4T5j7h6Uh/6krbduJE91c7pbursI7oHizsOzzqjp4cPB6PekeJ8/4dn//jk7Vr92D5v1uKTp7qu95jUiNYmt9jMkz3a9fm3lXW8mBF3hLERvtJ8+jwRnSfq6VjwSeaY71DECwjPf7vpqJDDahXVAbHS+nfBVrh9UxdrTmEY6Z2hxsJFo0aESACiwmBNMFaTEr/Tbq0jrpHngF/bcPfhIW1ZdyrJf5GDNgmIkAEiAAR+G8jQIK1CPrPdt7+cklUKxM2WwRNmVqF0p1nUwumACJABIgAESACM0SABGuGYLeqwhCoL5/5C5eW/MX+/P9CIhd7P1A/IkAEiAARmB4BEqzpMaQEIkAEiAARIAJEgAj0ECDB4oAgAkSACBABIkAEiMDACJBgDQwoxREBIkAEiAARIAJE4B9bNNpRhqK+YwAAAABJRU5ErkJggg==""
      }
    }
  ]
}
error:The JSON body must have 1 message
{
  ""model"": ""gpt-4o-mini"",
  ""messages"": [
    {
      ""role"": ""user"",
      ""content"": {
        ""text"": ""Extract text from this image. "",
        ""image_url"": ""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAlgAAAAUCAYAAABRY0PiAAAAAXNSR0IArs4c6QAACTlJREFUeF7tXTvPTV0QHq3wAyiIVotE5RIacYtEQkWhQzQKRCKiQSESt4oEFYlEgkTpUknQSlRCQaOQEK0v851M9uznnbXWnHP2e9738z2nO2evPWvWsy7zrJlZ6yz580f+CD9EgAgQASJABIgAESACgyGwhARrMCwpiAgQASJABIgAESAC/yIwFsH69Utk1y6RV6869J48Edm9u/ueKfPtm8jGjSJfvohs3izy7JnIixcie/Z0ci5dEjl1qt9L/j19cuiQyL17/TJPn/bloH6+9Pv3IkeOiDx/LrJiRbkNq1aJvHnTL+PlaJ1XrozasWxZ90Tlb9ok8vt3X8eSThF2+qZh5GWXxq/JWL16LjZDjXnth9OnRW7e7Ld3XPmGz4MH/TGUkaOYHz/e9cvly6N+tD5Q2Xfvily/npG2sGVQ90m1wfEWzaHDh0Xu3x/VsHSpyOvXIuvW9WtUfbR/7ePHK84v/ybKy9Rl75fmEOqi5WvzUetcu3bu2jEppnyPCBABIjApAmmCZYZbKzIjZoutLcCZMvq+LoKfP/eNoRIRM7RmKM6d6xZKI1dHj45+w+8qV/U5eLAzGvjdg2Tv629InlA//f7yZUyyTNcNG+YSLCQBtU4yYxQZRTMyEaFEmbMgWIjPpINvGoJVq3MWGEza5vl6D+eMYbBjRzeHdBzdutUnpRcu9ElWNId041PbqNhc2rKlI/WZugyL2hzSsaYf3EhFONo8iebQfOFOuUSACBCBEgJpgqWL4L59Io8f93e83th+/Nguo16YiMB4wqXK4q4eF2wjVObFWL585F1Dz020QPtdOO6GI6NvBuTGjb6nxe+uIy9T1jORISwRoYw6dRbkIqNvZsqRYGVQypWJ+sTP2ZUrR15j26CoVCRhpbHTIjm4AYnGakT4bJ6btwznUOmd0qbCPOskWLkxw1JEgAjMLwJpglVSI0MirMzDhyIHDtRDjFZPRMJwJ+uJz/r1IwOCJAi9SEaudBHWj9/Rl9oYEQEjV7qzf/So75HzbWiFK1A/H+ZRg3P+vMjOnSPvnhpJJLkYVty7V+THjz7RxLBOK+SIoSYjoUZizZBZSOjr1364TtsfYYZyz54VuXq1a5v3YhqGEbFGcq3hXRtjt2+LbNs2Cj/rx3T3IS8Lkfln9lvGS+hDX1pHhCeWqXmA/Bz6+XM0js+cEbl4sWtHTa8SESltDAxbJEKTEKzahqRG5jy5Ks0h1U89cHfuzA1jWhtM50+fRps/nR++3vldPimdCBABIlBGYCqClfGWRGVaHhBctFsGRBfU7dtj71ktTFgy3ghXS9/oOeaLmUxvaK1dJ0+OPGMYcrXvPrfF55hEIVkz7GaQsf2tPosMZsvjGIVCUQ6GsDw+isnWrXM9kDVdazlYijV6MzEE68meeTyi0HRrLGB4LOqTlqcuIljfv/dD3bUwXWZ+YD6jERzcYIwbIizNjXFChKpLJCfK96rlX2W9vDQIRIAIEIFZIDAVwUJCECkclSktylHyu4YUMwZkPgiWDwHWPBCl8Ix6ZPbv7/JHIgJlIU7FrhTC0d255YmpTh8+jGRG5BENfpZEWt/VCKn3zPmQboZg1QyoYYu61ojJJATL59FFRKhFPkseoUyYvDaZI4IVeX9qBxdqY9DnMpr3zw6UROE0Tz5LifAqp0VIa6H4FnFFD5cdpKnlQ5JgzcJksA4iQASyCExMsGxx9QQCKy2VaXmEcHdtoSmfsKtl/II6HwTL2tNauDPticiJnsKrkaXI4HuCFYVn8R1vLGskEduqIbZSLgu2t0WwzDuF/Vfyctlhhxo5nIRgYZ4f5ha1CJYf3+ihtDCh9mkm7OxlRQTLh7ozevnQt3qrfOi41I8l77InojUSVeqf7GEXj0F2DtXmYmueZhdFliMCRIAIDIHARARrGnKlSmcWU79YHjs2CvksFMFCwuevdMi2xzrLGyXNC7IcrRpZwpNgRspKOCJxQDJQ80qonpjXpb95cjYuwbL8OMyNiTxCprsSlejQguG4UATL51YZqdLxaeRN9fbXRWQm6RAECz1T2sdKVNVDWstJ8h5LlZHNg2uFb/1p3mhzgVeOZNYEPzYjbx4JVma0sQwRIAKzQmBsgjUtucoSElwso5NMkyS5o+cg622oeVOyxgGJmiVea7ivlsdl3gzM2cp4sHAg1a6niAad1fn2bZcTNC7BynqwjCQoKdA2q5Eu3ZG1EASrFLL0eCyUByvqu1bul+FtZEi/RyeFa6HoiLyVricZYg7ViB0J1qzMBushAkQgg8BYBGsIcoUES79Hngo0DkNe0xB5k8wrVcpBqpGoUn5RaRev9SupwnAfkj197u8pQkKVycEqGd7IkJYGDHqaIoKFbcV8s0wOltbvc8hKd495IuZz08xzFI2pqP5xQ4QRcTB916zpLsyN+r02GYfwYEXt83NGT3q2vFOlMqUQcGkMleZQ7cRxqX8wrFs7GUmClVnyWYYIEIFZIZAmWJg8HSmYKRN5sNAYRzkcKDtaTKMk8pqxi0jbUPkjkRwkTEoi7SZ5M26WkGxtsVNT797NvQohc4owamONLEbGEWXg+60TgpqgnCljY8rCcLWrCRbSg+WTxk1XvMpC22IX8rYM/xAEC8d+lDuFCeKTlokIrl8PhppDqF8k19fbwnlWiyrrIQJEgAgoAmmC5U/UIXRmXPQuIX/fkC/nj1fXvBn2TmRcMZdo2r/KaSXp4n1P+JcinhDgTlufYS4T5j7h6Uh/6krbduJE91c7pbursI7oHizsOzzqjp4cPB6PekeJ8/4dn//jk7Vr92D5v1uKTp7qu95jUiNYmt9jMkz3a9fm3lXW8mBF3hLERvtJ8+jwRnSfq6VjwSeaY71DECwjPf7vpqJDDahXVAbHS+nfBVrh9UxdrTmEY6Z2hxsJFo0aESACiwmBNMFaTEr/Tbq0jrpHngF/bcPfhIW1ZdyrJf5GDNgmIkAEiAAR+G8jQIK1CPrPdt7+cklUKxM2WwRNmVqF0p1nUwumACJABIgAESACM0SABGuGYLeqwhCoL5/5C5eW/MX+/P9CIhd7P1A/IkAEiAARmB4BEqzpMaQEIkAEiAARIAJEgAj0ECDB4oAgAkSACBABIkAEiMDACJBgDQwoxREBIkAEiAARIAJE4B9bNNpRhqK+YwAAAABJRU5ErkJggg==""
      }
    }
  ]
}
Error: The message must have a 2 content parts
-------------------

Author: 22f3001315
Date: 2025-01-19T16:53:34. 970Z
Content:
@Jivraj
@carlton
sir plz see it once. -------------------

Author: Jivraj
Date: 2025-01-21T07:02:52. 278Z
Content:
Hi
@22f3001315
,
You are almost correct, there are very minor changes that needs to be made. Take help from Chat GPT or use this documentation which have correct json body
Vision - OpenAI API. Kind regards
Jivraj
-------------------

Author: 22f3001315
Date: 2025-01-21T08:21:45. 804Z
Content:
it worked thanks sir
-------------------

Author: 22f3002034
Date: 2025-01-21T11:25:57. 882Z
Content:
Are we supposed to buy open ai api key ?
-------------------

Author: 23f2000237
Date: 2025-01-21T12:01:17. 870Z
Content:
No, if you scroll down to the last question, we can get our Ai Proxy key
-------------------

Author: carlton
Date: 2025-01-21T12:06:09. 235Z
Content:
@nilaychugh
@22f3002034
The API key is available at
https://aiproxy. sanand. workers.",https://discourse.onlinedegree.iitm.ac.in/t/ga3-large-language-models-discussion-thread-tds-jan-2025/163247,forum/content/1,3
781c4336-c9e6-4efa-b6fe-b2e6f6d49cdb,558b146a-c09d-4c49-b33e-f1dea11205a2,content,"dev/
The instructions on how to use the token is given at
GitHub - sanand0/aiproxy: Authorizing proxy for LLMs
You cannot use this token directly with Open AI or any other gpt. These are only valid via the API exposed by the above instructions. You get a limit of $1. Use with care. Kind regards
-------------------

Author: nilaychugh
Date: 2025-01-21T14:30:30. 322Z
Content:
but the embedding model that is said to be used is text embedding 3 small, which is the model of OpenAI
-------------------

Author: Jivraj
Date: 2025-01-22T09:13:43. 408Z
Content:
Hi Nilay,
Yes you would need to use
text-embedding-3-small
model of openai for embedding questions. Kind regards
Jivraj
-------------------

Author: nilaychugh
Date: 2025-01-23T03:52:39. 679Z
Content:
i have a doubt, while submitting the GA3, both 7th and 8th questions require the API url to be active and connected right, but its not possible as both the URLs use same port, so if we check my 7th question URL is running right now, it’ll show as correct, but then if i  run 8th question URL, the 7th question will automatically show the error,
is there any solution to this problem?
-------------------

Author: 21f3002277
Date: 2025-01-23T06:09:55. 493Z
Content:
Q5. How to handle the error ? sir
@Jivraj
Error: The first input does not match the first text exactly
-------------------

Author: 21f3002277
Date: 2025-01-23T06:17:12. 711Z
Content:
Q4. How to handle this error?
@Jivraj
{
  ""id"": ""chatcmpl-AshDCPwSiXNao1QXmCxCmi63GifFx"",
  ""object"": ""chat. completion"",
  ""created"": 1737599182,
  ""model"": ""gpt-4o-mini-2024-07-18"",
  ""choices"": [
    {
      ""index"": 0,
      ""message"": {
        ""role"": ""assistant"",
        ""content"": ""The image contains an email address and a number. The email address appears to be associated with an educational institution, and the number seems to be a numerical sequence. "",
        ""refusal"": null
      },
      ""logprobs"": null,
      ""finish_reason"": ""stop""
    }
  ],
  ""usage"": {
    ""prompt_tokens"": 592,
    ""completion_tokens"": 33,
    ""total_tokens"": 625,
    ""prompt_tokens_details"": {
      ""cached_tokens"": 0,
      ""audio_tokens"": 0
    },
    ""completion_tokens_details"": {
      ""reasoning_tokens"": 0,
      ""audio_tokens"": 0,
      ""accepted_prediction_tokens"": 0,
      ""rejected_prediction_tokens"": 0
    }
  },
  ""service_tier"": ""default"",
  ""system_fingerprint"": ""fp_bd83329f63"",
  ""monthlyCost"": 0. 05490624000000001,
  ""cost"": 0. 001974,
  ""monthlyRequests"": 14,
  ""costError"": ""crypto. createHash is not a function""
}
Error: Model must be gpt-4o-mini
-------------------

Author: Jivraj
Date: 2025-01-23T10:58:14. 611Z
Content:
Hi Nilay,
nilaychugh:
both the URLs use same port,
You can run two servers on different port numbers. -------------------

Author: Jivraj
Date: 2025-01-23T11:05:13. 578Z
Content:
Hi Vikash,
I looked at your answers in backend. In answer you submitted response from openai, but you need to submit json object which is required for sending a request to LLM. Kind regards
-------------------

Author: Jivraj
Date: 2025-01-23T11:07:22. 861Z
Content:
You made same mistake here, instead of response use json body that’s required for sending request to LLM. Kind regards
-------------------.",https://discourse.onlinedegree.iitm.ac.in/t/ga3-large-language-models-discussion-thread-tds-jan-2025/163247,forum/content/2,4
824432c0-f80f-4b6e-b5e3-5d31fc546e73,3ae23240-e84c-49ee-a892-cb4ff274cfec,metadata,"Title: Tds: assignment is not submitting
Tags: diploma-level, graded-assignment",https://discourse.onlinedegree.iitm.ac.in/t/tds-assignment-is-not-submitting/166189,forum/metadata,5
5f2f9d5e-d477-44c9-a7e1-93877b535815,3ae23240-e84c-49ee-a892-cb4ff274cfec,content,"Author: 23f3002530
Date: 2025-02-03T06:54:27. 787Z
Content:
@carlton
@s. anand
dear sir
i have taken tds in this term. after the first assignment there was no checkbox provided to any graded assignment. for this reason i just saved the assignment at the portal link. and now after the deadline its showing my assignment had not been submitted. pls do something please do it fast. -------------------

Author: Saransh_Saini
Date: 2025-02-03T10:42:34. 471Z
Content:
GA2 - Deployment Tools - Discussion Thread [TDS Jan 2025]
Tools in Data Science
We have removed that button, cause it was causing confusion among the students. If you have saved your answers on the TDS portal then you need not worry, you will be marked. The button was just there to ensure you saw the assignment on the TDS portal. Regards, 
TDS TA
Read this
-------------------

Author: Rishabh2
Date: 2025-02-05T17:17:25. 350Z
Content:
I saved that too but right now scores of GA2 isn’t visible for me. And in score section it’s showing assignment not submitted. @Saransh_Saini
-------------------

Author: carlton
Date: 2025-02-06T02:24:28. 000Z
Content:
Your scores are evaluated on a site that is external to the seek portal and is not integrated with the seek portal. Therefore seek does not know if you have submitted or not and by default says that it has not been submitted because it cannot see your external evaluation. There will not be a fix for this for some time. Scores for GA1, GA2, GA3, GA4, GA5, Project1, Project2, ROE will NOT be inside your seek portal. The scores will only be visible in the dashboard. Just ignore anything inside seek portal. The dashboard is where all your subject score cards exists. As stated in multiple places on discourse as well as in live sessions, The final score is always your last submission. If your dashboard score does not match your final submission score on the assignment page, only then contact us regarding your marks. Kind regards
-------------------

Author: 23f3002530
Date: 2025-02-03T05:35:17. 285Z
Content:
@Jivraj
@iamprasna
i have taken tds in this term. after the first assignment there was no checkbox provided to any graded assignment. for this reason i just saved the assignment at the portal link. and now after the deadline its showing my assignment  had not been submitted. pls do something please do it fast. -------------------

Author: shriaviator
Date: 2025-02-07T02:08:32. 080Z
Content:
@23f3002530
Topic moved to the appropriate category in order to get faster responses. Please make it easier for others to help you, by ensuring that topics are created in the correct categories. -------------------

Author: carlton
Date: 2025-02-07T03:17:32. 740Z
Content:
@23f3002530
Please refer to this post. Tds: assignment is not submitting
Tools in Data Science
Your scores are evaluated on a site that is external to the seek portal and is not integrated with the seek portal. Therefore seek does not know if you have submitted or not and by default says that it has not been submitted because it cannot see your external evaluation. There will not be a fix for this for some time.",https://discourse.onlinedegree.iitm.ac.in/t/tds-assignment-is-not-submitting/166189,forum/content/1,6
687a7120-cf7c-4468-bc02-969ddef2d66a,3ae23240-e84c-49ee-a892-cb4ff274cfec,content,"Scores for GA1, GA2, GA3, GA4, GA5, Project1, Project2, ROE will NOT be inside your seek portal. The scores will only be visible in the dashboard. Just ignore anything inside se…
Kind regards
-------------------

Author: bhavanagv
Date: 2025-02-06T20:28:05. 908Z
Content:
Screenshot (313)
1920×1080 243 KB
-------------------

Author: carlton
Date: 2025-02-07T00:46:09. 257Z
Content:
Dear Bhavanagv,
The scores have not been pushed to the dashboard yet. Ignore seek portal. Seek portal will not have your submission or your scores because it is evaluated externally from the seek portal. Kind regards
-------------------

Author: 22f3000585
Date: 2025-02-03T12:50:07. 690Z
Content:
I had submitted the assignment still it’s shwoing that my score is 0 and that i have not submitted the assignment. Can you please look into it as i had saved my answers as well timely. image
547×258 12. 3 KB
-------------------

Author: Pururaj
Date: 2025-02-03T18:47:17. 785Z
Content:
same thing with my assignment even though i submitted it
-------------------

Author: Jivraj
Date: 2025-02-03T22:46:28. 017Z
Content:
Scores will soon be pushed to seek portal, till then it will show 0. -------------------

Author: HRISHIKESH
Date: 2025-02-04T15:23:50. 195Z
Content:
Same for me…deadline is over and assignment not submitted…
-------------------

Author: 23f2003413
Date: 2025-02-05T06:58:39. 938Z
Content:
same issue here as well
-------------------

Author: SameerNaik
Date: 2025-02-05T18:37:49. 504Z
Content:
Yes, same observation for my assignment as well. -------------------

Author: carlton
Date: 2025-02-06T02:23:54. 000Z
Content:
Scores for GA1, GA2, GA3, GA4, GA5, Project1, Project2, ROE will NOT be inside your seek portal. The scores will only be visible in the dashboard. Just ignore anything inside the seek portal. As stated in multiple places in discourse as well as in live sessions, The final score is always your last submission. Kind regards
-------------------

Author: 23f2000232
Date: 2025-02-07T14:50:45. 736Z
Content:
There are some errors in grading for GA2 and  GA3 for TDS, even after submitting the assignments score 0 was given and the seek portal displayed assignment was not submitted given that the login was from my own account and was submitted before the time and still got a score of 0. Screenshot 2025-02-07 201316
1859×960 88. 4 KB
and the same happened for the 3rd assignment
-------------------

Author: carlton
Date: 2025-02-07T15:07:24. 073Z
Content:
Please refer to this post. Tds: assignment is not submitting
Tools in Data Science
Scores for GA1, GA2, GA3, GA4, GA5, Project1, Project2, ROE will NOT be inside your seek portal. The scores will only be visible in the dashboard. Just ignore anything inside the seek portal. As stated in multiple places in discourse as well as in live sessions, The final score is always your last submission. Kind regards
-------------------

Author: Dnyanu27
Date: 2025-02-08T12:32:16. 079Z
Content:
Only 1st Graded assignment scores are visible on dashboard. I have submitted 2nd and 3rd GA before the deadline but still it showing “not submitted” on the seek portal…
-------------------

Author: 21f3000697
Date: 2025-05-31T09:10:55. 326Z
Content:
I recently got mail and checked my marks for GA2 and noticed that the final score is showing as
4. 25
, but while attempting the assignment earlier, I had scored
7. 25
shown after submission.",https://discourse.onlinedegree.iitm.ac.in/t/tds-assignment-is-not-submitting/166189,forum/content/2,7
28d3065b-f5f3-419e-a08d-71fff4afff2f,3ae23240-e84c-49ee-a892-cb4ff274cfec,content,Could you please help me understand how the marks were reduced? I want to ensure there was no error or misunderstanding in the evaluation. -------------------.,https://discourse.onlinedegree.iitm.ac.in/t/tds-assignment-is-not-submitting/166189,forum/content/3,8
5448d454-94ff-45c6-903c-3778d7a7254a,f77a364b-98ba-4ee9-83a7-24de6367ae35,metadata,"Title: GA1 - Development Tools - Discussion Thread [TDS Jan 2025]
Tags: announcement, term1-2025, week-1, graded-assignment",https://discourse.onlinedegree.iitm.ac.in/t/ga1-development-tools-discussion-thread-tds-jan-2025/161083,forum/metadata,9
